#TYPE Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProvider
"ProviderNamespace","RegistrationState","ResourceTypes","Locations","ZoneMappings"
"Microsoft.Advisor","Registered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.AzureActiveDirectory","Registered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.Compute","Registered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.KeyVault","Registered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.Network","Registered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.OperationalInsights","Registered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.OperationsManagement","Registered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.ResourceHealth","Registered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.Security","Registered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.Sql","Registered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.Storage","Registered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"Microsoft.Web","Registered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"84codes.CloudAMQP","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
"AppDynamics.APM","NotRegistered","Microsoft.Azure.Commands.ResourceManager.Cmdlets.SdkModels.PSResourceProviderResourceType[]","System.String[]",
